ThicknessIdx,SampleID,SNR_total_median_dB,SNR_total_mean_dB,SNR_excess_median_dB,BuriedFraction,NoiseFloor_RMS_V,N_Events,Thickness
1,95,-0.0543512421411478,-0.0431474071912105,-18.0968439733499,0.65,0.00123078642937303,20,2 mm
1,96,-0.00894641755725654,0.019259529897395,-16.2450950445774,0.529411764705882,0.00123094401588663,17,2 mm
1,97,-0.104994989362635,-0.0688723161540403,-18.2171273336394,0.733333333333333,0.0012307834724642,15,2 mm
1,98,0.0636579397477935,0.0612052742059586,-12.3389252954786,0.5,0.00123068136960916,18,2 mm
1,99,-0.0531582147583185,-0.0312063071689773,-17.0934393453029,0.55,0.00123015190905896,20,2 mm
1,100,0.0775900969716376,0.109757971537023,-13.6114320637574,0.333333333333333,0.00123043360078552,9,2 mm
1,101,0.0147405826437762,-0.00929334379140423,-17.9494235395472,0.45,0.00123036669523477,20,2 mm
1,102,0.0313087266672341,0.0134509392517381,-18.490898476252,0.294117647058824,0.00123067073974864,17,2 mm
1,103,0.0107926134784396,-0.0164030053800586,-15.8832551099206,0.5,0.00122917225071301,20,2 mm
1,104,0.0417538777760722,0.0307668234471403,-15.7421122850426,0.380952380952381,0.00122706523530747,21,2 mm
1,105,0.0323938905899833,0.0293455722742353,-14.4976921495168,0.470588235294118,0.00122726621850733,17,2 mm
1,106,-0.00891117689824768,0.0226463246878571,-14.9236560969792,0.5625,0.00122695356832715,16,2 mm
1,107,0.00528868645882865,-0.00660201309155589,-22.8965289168647,0.45,0.00122588493342839,20,2 mm
1,108,-0.0357434577122638,-0.0248865846391603,-16.391803634381,0.5,0.00122524979030418,14,2 mm
1,109,0.0380135652886675,0.0356491911711647,-19.824820857286,0.142857142857143,0.0012268493272663,7,2 mm
1,110,0.0690021440560361,0.0487052730692829,-15.1881202747089,0.333333333333333,0.00122604127266553,12,2 mm
1,111,-0.0356688295180088,-0.0297107633529417,-15.4106486456112,0.625,0.00122413016334448,16,2 mm
1,112,-0.0342121213421689,-0.0405907767964334,-18.902229739311,0.583333333333333,0.00122582286917549,12,2 mm
1,113,0.0124083463358667,-0.0118707547924063,-18.3613265198774,0.411764705882353,0.00122575979294316,17,2 mm
1,114,-0.00829415337722606,-0.0217035136584006,-14.6641209083948,0.631578947368421,0.00122610785439302,19,2 mm
1,115,0.025624261547633,0.0216161758052639,-16.1120367453857,0.380952380952381,0.00122575131940034,21,2 mm
1,116,0.0847773499407843,0.0426611971817829,-14.7230251822086,0.35,0.00122575193093001,20,2 mm
1,117,0.118156859322812,0.112465775099584,-13.6045136669555,0.230769230769231,0.00122481615685294,13,2 mm
1,118,-0.0057807665386487,-0.0242429416832763,-19.8757861025484,0.555555555555556,0.00122485211897617,9,2 mm
1,119,-0.0819642705012986,-0.0294588991828661,-16.2430748244663,0.571428571428571,0.00122328349202919,14,2 mm
1,120,-0.0666151959472641,-0.057064311109025,-17.9573056526303,0.684210526315789,0.00122605967077382,19,2 mm
1,121,-0.0240950838132169,-0.0529590839726962,-17.7957894552711,0.5625,0.00122663394615643,16,2 mm
1,122,0.0129851652042984,0.0151293518156942,-17.2536598101005,0.466666666666667,0.0012257233604892,15,2 mm
1,123,0.0368976099098054,0.0517149663012802,-12.4281305082429,0.454545454545455,0.00122536508992646,11,2 mm
1,124,0.0137038661789957,0.0804066260959459,-14.4308494610847,0.4,0.00122590753502472,10,2 mm
1,125,-0.0379631605774386,-0.0335398476119398,-13.6952476537471,0.727272727272727,0.00122853960317291,11,2 mm
1,126,-0.138787966177874,-0.101492607417794,-17.8428443585398,0.666666666666667,0.00122649528775844,15,2 mm
1,127,-0.0788886348232504,-0.0472074529510021,-19.8733574186912,0.529411764705882,0.00122779939457878,17,2 mm
1,128,0.0352865292834823,0.0397217371598314,-15.7748923520992,0.352941176470588,0.00122823282710272,17,2 mm
1,129,0.0135858390730727,-0.0285799711729508,-20.5983614879199,0.421052631578947,0.00122873800541838,19,2 mm
1,130,-0.015493575232404,-0.0453045832252633,-16.4753904047749,0.526315789473684,0.00122786105891092,19,2 mm
1,131,-0.00524795650432867,0.0631843024208532,-12.8319344612654,0.5,0.00122757129050022,12,2 mm
1,132,0.0135145659977038,0.00964309534118993,-16.1819580225888,0.357142857142857,0.00122902011794688,14,2 mm
1,133,0.0294433871331934,0.0595124673035774,-15.2248309788057,0.375,0.00122815019157146,8,2 mm
1,134,0.0990230325750991,0.0716079968464551,-15.4710461602592,0.352941176470588,0.00122799397540445,17,2 mm
1,135,0.0811151197503417,0.0103894973406706,-15.1624537023834,0.444444444444444,0.00122978099328255,9,2 mm
1,136,-0.0772186936242436,-0.0555669361789024,-15.4443401577425,0.625,0.00123138327364754,16,2 mm
1,137,0.0164220204645584,0.0117514825918936,-16.231003218106,0.444444444444444,0.00123232017423356,18,2 mm
1,138,-0.0337310734168123,-0.0599851163425331,-17.247286398709,0.636363636363636,0.00123084084333012,22,2 mm
1,139,-0.0371549883345646,-0.0611261490339434,-20.5668872335042,0.642857142857143,0.00123061192212807,14,2 mm
1,140,0.0541663103624846,0.0448467845949356,-13.5612285185067,0.4,0.00123066900792671,15,2 mm
1,141,0.00375836318224914,0.0174508646387075,-14.5061914741124,0.466666666666667,0.00123159328577145,15,2 mm
1,142,-0.0503638608986924,-0.00521791526256805,-14.8068489835418,0.666666666666667,0.00123227695015493,9,2 mm
1,143,-0.0857797258145479,-0.0362897922050918,-20.0675171068104,0.636363636363636,0.00123233569607919,11,2 mm
