SampleID,HC,MC,LC,WC,EO,Final,AGR_orig,EOR_orig,AGR_layered,EOR_layered,Coverage
159,4,10,0,8,14,14,1.000000,0.777778,1.000000,0.222222,0.777778
160,12,2,5,12,6,14,0.705882,0.333333,0.736842,0.222222,0.777778
161,8,6,8,28,14,14,0.500000,0.636364,0.636364,0.363636,0.636364
162,6,9,0,9,14,15,1.000000,0.700000,1.000000,0.250000,0.750000
163,8,5,2,8,10,13,0.800000,0.555556,0.866667,0.277778,0.722222
164,8,9,2,9,14,17,0.800000,0.636364,0.894737,0.227273,0.772727
165,4,10,3,9,16,14,0.571429,0.800000,0.823529,0.300000,0.700000
166,11,6,3,13,8,17,0.785714,0.421053,0.850000,0.105263,0.894737
167,6,4,1,8,15,10,0.857143,0.714286,0.909091,0.523810,0.476190
168,6,5,1,5,13,11,0.857143,0.684211,0.916667,0.421053,0.578947
169,1,7,0,3,18,8,1.000000,0.947368,1.000000,0.578947,0.421053
170,8,7,0,4,11,15,1.000000,0.578947,1.000000,0.210526,0.789474
171,7,9,12,24,13,16,0.368421,0.650000,0.571429,0.200000,0.800000
172,14,4,10,29,7,18,0.583333,0.333333,0.642857,0.142857,0.857143
173,4,8,5,18,15,12,0.444444,0.789474,0.705882,0.368421,0.631579
174,8,6,5,16,11,14,0.615385,0.578947,0.736842,0.263158,0.736842
175,9,8,6,17,13,17,0.600000,0.590909,0.739130,0.227273,0.772727
176,9,8,4,7,8,17,0.692308,0.470588,0.809524,0.000000,1.000000
177,9,5,1,19,8,14,0.900000,0.470588,0.933333,0.176471,0.823529
178,6,3,0,3,14,9,1.000000,0.700000,1.000000,0.550000,0.450000
179,9,10,4,10,10,19,0.692308,0.526316,0.826087,0.000000,1.000000
180,12,5,10,23,7,17,0.545455,0.368421,0.629630,0.105263,0.894737
181,8,3,2,15,11,11,0.800000,0.578947,0.846154,0.421053,0.578947
182,7,6,0,9,11,13,1.000000,0.611111,1.000000,0.277778,0.722222
183,10,6,4,24,9,16,0.714286,0.473684,0.800000,0.157895,0.842105
184,6,7,1,7,12,13,0.857143,0.666667,0.928571,0.277778,0.722222
185,12,4,7,18,8,16,0.631579,0.400000,0.695652,0.200000,0.800000
186,5,10,1,9,16,15,0.833333,0.761905,0.937500,0.285714,0.714286
187,10,5,4,24,8,15,0.714286,0.444444,0.789474,0.166667,0.833333
188,7,2,2,10,13,9,0.777778,0.650000,0.818182,0.550000,0.450000
189,10,6,11,31,8,16,0.476190,0.444444,0.592593,0.111111,0.888889
190,4,6,0,5,15,10,1.000000,0.789474,1.000000,0.473684,0.526316
191,9,6,5,19,13,15,0.642857,0.590909,0.750000,0.318182,0.681818
192,10,6,3,21,10,16,0.769231,0.500000,0.842105,0.200000,0.800000
193,10,6,2,11,10,16,0.833333,0.500000,0.888889,0.200000,0.800000
194,6,7,1,11,14,13,0.857143,0.700000,0.928571,0.350000,0.650000
195,12,6,6,24,9,18,0.666667,0.428571,0.750000,0.142857,0.857143
196,9,7,4,11,13,16,0.692308,0.590909,0.800000,0.272727,0.727273
197,10,5,3,13,10,15,0.769231,0.500000,0.833333,0.250000,0.750000
198,9,8,9,27,8,17,0.500000,0.470588,0.653846,0.000000,1.000000
199,8,5,0,9,11,13,1.000000,0.578947,1.000000,0.315789,0.684211
200,10,2,5,27,7,12,0.666667,0.411765,0.705882,0.294118,0.705882
